Country of Origin,Acidity,Aftertaste,Aroma,Balance,Body,Clean Cup,Cupper Points,Flavor,Sweetness,Uniformity,Total Cup Points
Colombia,7.67,7.58,7.83,7.83,7.75,10.0,7.75,7.75,10.0,10.0,84.17
Costa Rica,7.67,7.67,7.92,7.67,7.5,10.0,8.0,7.75,10.0,10.0,84.17
Guatemala,8.0,7.58,7.75,7.83,7.67,10.0,7.58,7.75,10.0,10.0,84.17
Guatemala,7.92,7.58,7.75,7.67,7.67,10.0,7.67,7.92,10.0,10.0,84.17
Guatemala,7.83,7.58,7.58,7.67,7.83,10.0,7.83,7.83,10.0,10.0,84.17
Colombia,7.67,7.5,8.0,7.83,8.0,10.0,7.67,7.5,10.0,10.0,84.17
Nicaragua,7.5,7.83,7.67,7.83,7.67,10.0,7.83,7.83,10.0,10.0,84.17
Brazil,7.67,7.75,7.67,7.75,7.83,10.0,7.75,7.75,10.0,10.0,84.17
Costa Rica,7.75,7.67,7.67,8.0,7.5,10.0,7.83,7.75,10.0,10.0,84.17
Ethiopia,7.83,7.58,7.5,7.83,7.75,10.0,7.75,7.92,10.0,10.0,84.17
United Republic of Tanzania,7.75,7.75,7.92,7.58,7.75,10.0,7.67,7.75,10.0,10.0,84.17
Colombia,7.42,7.67,7.67,8.58,7.83,10.0,7.5,7.5,10.0,10.0,84.17
Guatemala,7.75,7.67,7.67,7.75,7.75,10.0,7.83,7.75,10.0,10.0,84.17
Kenya,7.75,7.75,7.58,7.83,7.75,10.0,7.75,7.75,10.0,10.0,84.17
Brazil,7.67,7.75,7.58,8.0,7.67,10.0,7.67,7.83,10.0,10.0,84.17
Guatemala,7.67,7.67,7.92,7.92,7.83,10.0,7.42,7.75,10.0,10.0,84.17
El Salvador,7.17,7.5,8.42,8.17,7.58,10.0,7.92,8.08,10.0,9.33,84.17
Colombia,7.75,7.75,7.75,7.75,7.83,10.0,7.58,7.75,10.0,10.0,84.17
Guatemala,8.0,7.5,7.83,7.83,7.83,10.0,7.67,7.5,10.0,10.0,84.17
Uganda,7.83,7.5,7.83,7.75,7.83,10.0,7.67,7.75,10.0,10.0,84.17
Indonesia,7.75,7.56,7.81,7.75,7.63,10.0,7.75,7.88,10.0,10.0,84.13
Colombia,7.5,7.42,7.83,8.5,7.83,10.0,7.5,7.5,10.0,10.0,84.08
Taiwan,7.67,7.67,7.58,7.83,7.75,10.0,7.92,7.67,10.0,10.0,84.08
Guatemala,7.58,7.5,8.0,7.67,7.92,10.0,7.67,7.75,10.0,10.0,84.08
Colombia,7.75,7.67,7.92,7.67,7.67,10.0,7.67,7.75,10.0,10.0,84.08
Guatemala,8.0,7.67,7.58,7.67,7.75,10.0,7.67,7.75,10.0,10.0,84.08
United States of America,7.83,7.83,7.83,8.08,7.42,10.0,8.0,7.75,10.0,9.33,84.08
Mexico,7.75,7.67,7.67,7.75,7.67,10.0,7.83,7.75,10.0,10.0,84.08
Ethiopia,8.0,7.83,7.92,7.92,7.92,10.0,7.92,7.92,8.67,10.0,84.08
Costa Rica,7.75,7.67,7.58,7.75,7.83,10.0,7.67,7.75,10.0,10.0,84.0
Ethiopia,7.75,7.67,7.83,7.75,7.33,10.0,7.92,7.75,10.0,10.0,84.0
Honduras,7.92,7.75,7.42,7.58,7.75,10.0,7.75,7.83,10.0,10.0,84.0
Guatemala,7.92,7.58,7.67,7.67,7.75,10.0,7.58,7.83,10.0,10.0,84.0
Colombia,7.58,7.83,7.67,7.83,7.58,10.0,7.83,7.67,10.0,10.0,84.0
Guatemala,7.92,7.42,7.92,7.83,7.75,10.0,7.5,7.67,10.0,10.0,84.0
Guatemala,7.83,7.5,7.75,7.67,7.58,10.0,7.83,7.83,10.0,10.0,84.0
Colombia,7.67,7.67,7.67,7.75,7.67,10.0,7.83,7.75,10.0,10.0,84.0
Colombia,7.92,7.75,7.58,7.92,7.75,10.0,7.67,7.42,10.0,10.0,84.0
Colombia,7.5,7.5,7.67,7.67,7.67,10.0,8.33,7.67,10.0,10.0,84.0
Ethiopia,7.58,7.5,7.75,7.92,7.67,10.0,7.83,7.75,10.0,10.0,84.0
Brazil,7.25,7.67,7.58,7.75,8.0,10.0,7.92,7.83,10.0,10.0,84.0
Colombia,7.75,7.67,7.67,7.75,7.67,10.0,7.67,7.83,10.0,10.0,84.0
Kenya,7.75,7.5,7.67,7.67,7.92,10.0,7.67,7.83,10.0,10.0,84.0
